;GRID_NO;index_right;geometry_y
598299;61143;10271;POLYGON ((20.206848561470085 41.40653548602368, 20.169893307665124 41.182810080603765, 19.874989577288588 41.21269131337194, 19.910906147260608 41.43654218556257, 20.206848561470085 41.40653548602368))
613640;61144;10413;POLYGON ((20.502533832446318 41.37565172525335, 20.464543747048218 41.15205528568822, 20.169893307665124 41.182810080603765, 20.206848561470085 41.40653548602368, 20.502533832446318 41.37565172525335))
628981;61145;10555;POLYGON ((20.797955121453004 41.343892137312494, 20.758934153934764 41.12042814334624, 20.464543747048218 41.15205528568822, 20.502533832446318 41.37565172525335, 20.797955121453004 41.343892137312494))
644322;62141;9994;POLYGON ((19.649933210498045 41.689576031596765, 19.614713484303252 41.465670621404726, 19.31827752151035 41.49391962301745, 19.352441124832843 41.717944655779355, 19.649933210498045 41.689576031596765))
659663;62142;10134;POLYGON ((19.947178274943543 41.660324402517986, 19.910906147260608 41.43654218556257, 19.614713484303252 41.465670621404726, 19.649933210498045 41.689576031596765, 19.947178274943543 41.660324402517986))
675004;62143;10272;POLYGON ((20.244169267879894 41.63019095782485, 20.206848561470085 41.40653548602368, 19.910906147260608 41.43654218556257, 19.947178274943543 41.660324402517986, 20.244169267879894 41.63019095782485))
690345;62144;10414;POLYGON ((20.54089919468818 41.59917691921284, 20.502533832446318 41.37565172525335, 20.206848561470085 41.40653548602368, 20.244169267879894 41.63019095782485, 20.54089919468818 41.59917691921284))
705686;62145;10556;POLYGON ((20.837361117769014 41.56728354044659, 20.797955121453004 41.343892137312494, 20.502533832446318 41.37565172525335, 20.54089919468818 41.59917691921284, 20.837361117769014 41.56728354044659))
721027;63140;9854;POLYGON ((19.38694484433358 41.94190411741465, 19.352441124832843 41.717944655779355, 19.054709122532376 41.74542911853448, 19.08814287344518 41.96950580539359, 19.38694484433358 41.94190411741465))
736368;63141;9995;POLYGON ((19.685503212700173 41.91341464399786, 19.649933210498045 41.689576031596765, 19.352441124832843 41.717944655779355, 19.38694484433358 41.94190411741465, 19.685503212700173 41.91341464399786))
751709;63142;10135;POLYGON ((19.98381076960011 41.88403856028208, 19.947178274943543 41.660324402517986, 19.649933210498045 41.689576031596765, 19.685503212700173 41.91341464399786, 19.98381076960011 41.88403856028208))
767050;63143;10273;POLYGON ((20.281860361633296 41.853777074654055, 20.244169267879894 41.63019095782485, 19.947178274943543 41.660324402517986, 19.98381076960011 41.88403856028208, 20.281860361633296 41.853777074654055))
782391;63144;10415;POLYGON ((20.579644892348444 41.82263142840373, 20.54089919468818 41.59917691921284, 20.244169267879894 41.63019095782485, 20.281860361633296 41.853777074654055, 20.579644892348444 41.82263142840373))
