Woche;Zeitraum;Buchdrucker
498;20.10.2014-26.10.2014;
499;27.10.2014-02.11.2014;
500;03.11.2014-09.11.2014;
501;10.11.2014-16.11.2014;
518;09.03.2015-15.03.2015;
519;16.03.2015-22.03.2015;
520;23.03.2015-29.03.2015;
521;30.03.2015-05.04.2015;
522;06.04.2015-12.04.2015;
523;13.04.2015-19.04.2015;
524;20.04.2015-26.04.2015;
525;27.04.2015-03.05.2015;
526;04.05.2015-10.05.2015;
527;11.05.2015-17.05.2015;
528;18.05.2015-24.05.2015;
529;25.05.2015-31.05.2015;
530;01.06.2015-07.06.2015;
531;08.06.2015-14.06.2015;
532;15.06.2015-21.06.2015;
533;22.06.2015-28.06.2015;
534;29.06.2015-05.07.2015;
535;06.07.2015-12.07.2015;
536;13.07.2015-19.07.2015;
537;20.07.2015-26.07.2015;
538;27.07.2015-02.08.2015;
539;03.08.2015-09.08.2015;
540;10.08.2015-16.08.2015;
541;17.08.2015-23.08.2015;
542;24.08.2015-30.08.2015;
543;31.08.2015-06.09.2015;
544;07.09.2015-13.09.2015;
545;14.09.2015-20.09.2015;
546;21.09.2015-27.09.2015;
547;28.09.2015-04.10.2015;
548;05.10.2015-11.10.2015;
549;12.10.2015-18.10.2015;
550;19.10.2015-25.10.2015;
551;26.10.2015-01.11.2015;
552;02.11.2015-08.11.2015;
553;09.11.2015-15.11.2015;
571;14.03.2016-20.03.2016;
572;21.03.2016-27.03.2016;
573;28.03.2016-03.04.2016;
574;04.04.2016-10.04.2016;23
575;11.04.2016-17.04.2016;32
576;18.04.2016-24.04.2016;217
577;25.04.2016-01.05.2016;208
578;02.05.2016-08.05.2016;43
579;09.05.2016-15.05.2016;225
580;16.05.2016-22.05.2016;189
581;23.05.2016-29.05.2016;702
582;30.05.2016-05.06.2016;466
583;06.06.2016-12.06.2016;1.000
584;13.06.2016-19.06.2016;398
585;20.06.2016-26.06.2016;2.000
586;27.06.2016-03.07.2016;1.900
587;04.07.2016-10.07.2016;1.200
588;11.07.2016-17.07.2016;2.150
589;18.07.2016-24.07.2016;1.350
590;25.07.2016-31.07.2016;580
591;01.08.2016-07.08.2016;350
592;08.08.2016-14.08.2016;410
593;15.08.2016-21.08.2016;290
594;22.08.2016-28.08.2016;170
595;29.08.2016-04.09.2016;380
596;05.09.2016-11.09.2016;840
597;12.09.2016-18.09.2016;1.650
598;19.09.2016-25.09.2016;285
599;26.09.2016-02.10.2016;237
600;03.10.2016-09.10.2016;148
601;10.10.2016-16.10.2016;0
602;17.10.2016-23.10.2016;
603;24.10.2016-30.10.2016;
604;31.10.2016-06.11.2016;
622;06.03.2017-12.03.2017;
623;13.03.2017-19.03.2017;
624;20.03.2017-26.03.2017;
625;27.03.2017-02.04.2017;
626;03.04.2017-09.04.2017;290
627;10.04.2017-16.04.2017;166
628;17.04.2017-23.04.2017;0
629;24.04.2017-30.04.2017;107
630;01.05.2017-07.05.2017;6
631;08.05.2017-14.05.2017;173
632;15.05.2017-21.05.2017;3.700
633;22.05.2017-28.05.2017;270
634;29.05.2017-04.06.2017;1.750
635;05.06.2017-11.06.2017;675
636;12.06.2017-18.06.2017;2.610
637;19.06.2017-25.06.2017;3.420
638;26.06.2017-02.07.2017;540
639;03.07.2017-09.07.2017;1.260
640;10.07.2017-16.07.2017;450
641;17.07.2017-23.07.2017;180
642;24.07.2017-30.07.2017;50
643;31.07.2017-06.08.2017;130
644;07.08.2017-13.08.2017;24
645;14.08.2017-20.08.2017;95
646;21.08.2017-27.08.2017;98
647;28.08.2017-03.09.2017;225
648;04.09.2017-10.09.2017;24
649;11.09.2017-17.09.2017;16
650;18.09.2017-24.09.2017;2
651;25.09.2017-01.10.2017;10
652;02.10.2017-08.10.2017;2
653;09.10.2017-15.10.2017;
654;16.10.2017-22.10.2017;
655;23.10.2017-29.10.2017;
656;30.10.2017-05.11.2017;
657;06.11.2017-12.11.2017;
675;12.03.2018-18.03.2018;
676;19.03.2018-25.03.2018;
677;26.03.2018-01.04.2018;
678;02.04.2018-08.04.2018;0
679;09.04.2018-15.04.2018;62
680;16.04.2018-22.04.2018;1.100
681;23.04.2018-29.04.2018;1.520
682;30.04.2018-06.05.2018;1.170
683;07.05.2018-13.05.2018;1.350
684;14.05.2018-20.05.2018;1.080
685;21.05.2018-27.05.2018;990
686;28.05.2018-03.06.2018;2.610
687;04.06.2018-10.06.2018;1.800
688;11.06.2018-17.06.2018;2.300
689;18.06.2018-24.06.2018;2.160
690;25.06.2018-01.07.2018;315
691;02.07.2018-08.07.2018;848
692;09.07.2018-15.07.2018;260
693;16.07.2018-22.07.2018;855
694;23.07.2018-29.07.2018;1.440
695;30.07.2018-05.08.2018;4.050
696;06.08.2018-12.08.2018;3.420
697;13.08.2018-19.08.2018;2.160
698;20.08.2018-26.08.2018;1.800
699;27.08.2018-02.09.2018;80
700;03.09.2018-09.09.2018;11
701;10.09.2018-16.09.2018;720
702;17.09.2018-23.09.2018;480
703;24.09.2018-30.09.2018;130
704;01.10.2018-07.10.2018;11
705;08.10.2018-14.10.2018;35
706;15.10.2018-21.10.2018;147
707;22.10.2018-28.10.2018;0
708;29.10.2018-04.11.2018;
725;25.02.2019-03.03.2019;
727;11.03.2019-17.03.2019;
728;18.03.2019-24.03.2019;
729;25.03.2019-31.03.2019;0
730;01.04.2019-07.04.2019;16
731;08.04.2019-14.04.2019;12
732;15.04.2019-21.04.2019;2
733;22.04.2019-28.04.2019;1.890
734;29.04.2019-05.05.2019;1.050
735;06.05.2019-12.05.2019;11
736;13.05.2019-19.05.2019;20
737;20.05.2019-26.05.2019;29
738;27.05.2019-02.06.2019;3.510
739;03.06.2019-09.06.2019;4.320
740;10.06.2019-16.06.2019;4.600
741;17.06.2019-23.06.2019;5.130
742;24.06.2019-30.06.2019;5.580
743;01.07.2019-07.07.2019;5.625
744;08.07.2019-14.07.2019;5.400
745;15.07.2019-21.07.2019;2.250
746;22.07.2019-28.07.2019;470
747;29.07.2019-04.08.2019;300
748;05.08.2019-11.08.2019;450
749;12.08.2019-18.08.2019;328
750;19.08.2019-25.08.2019;2.790
751;26.08.2019-01.09.2019;1.800
752;02.09.2019-08.09.2019;855
753;09.09.2019-15.09.2019;150
754;16.09.2019-22.09.2019;1.350
755;23.09.2019-29.09.2019;50
756;30.09.2019-06.10.2019;585
757;07.10.2019-13.10.2019;5
758;14.10.2019-20.10.2019;15
759;21.10.2019-27.10.2019;2
760;28.10.2019-03.11.2019;
